### Locus tag	Product description
ECU11_1550	AP_endonuc_2 domain-containing protein
ECU05_0610	Zinc finger C2H2 protein ECU05_0610
ECU08_0150	Clat_adaptor_s domain-containing protein
ECU07_0760	Mitochondrial protein import protein mas5
ECU05_1480	hypothetical protein
ECU11_0500	RRM domain-containing protein
ECU05_1510	Probable casein kinase II subunit alpha homolog
ECU06_0220	TUBULIN-FOLDING COFACTOR D
ECU06_1260	Weak similarity to HMG
ECU09_0030	Putative leucine-rich protein
ECU04_0250	ATP-DEPENDENT RNA HELICASE (DEAD box family)
ECU06_1405	ECU06_1405 protein
ECU08_1300	ADP%2CATP carrier protein 1
ECU02_1290	Condensin complex subunit 2
ECU09_1870	Dehydrodolichyl diphosphate synthase
ECU11_0210	Ubiquitin-like domain-containing protein
ECU04_1320	hypothetical protein
ECU06_0585	ECU06_0585 protein
ECU04_0170	hypothetical protein
ECU01_0900	hypothetical protein
ECU02_0740	Ubiquitin
ECU11_1950	Cell division control protein 10
ECU11_0270	Autophagy-related protein 9
ECU08_1910	60S RIBOSOMAL PROTEIN L23A
ECU03_1090	hypothetical protein
ECU07_0300	hypothetical protein
ECU11_1780	Probable UDP-N-acetylglucosamine pyrophosphorylase
ECU02_1510	hypothetical protein
ECU07_0390	RAD18-LIKE RECOMBINATION AND DNA REPAIR PROTEIN
ECU07_0455	ECU07_0455 protein
ECU02_0050	UPF0329 protein ECU02_0050
ECU09_0200	Putative leucine repeat-rich protein
ECU09_1275	40S RIBOSOMAL PROTEIN S28
ECU09_1430	hypothetical protein
ECU09_1695	ECU09_1695 protein
ECU06_1240	hypothetical protein
ECU09_0130	Plug_translocon domain-containing protein
ECU07_0110	60S acidic ribosomal protein P2
ECU02_1060	Geranylgeranyl transferase type-2 subunit alpha
ECU10_0065	Sm domain-containing protein
ECU05_0930	PHOSPHATIDYLINOSITOL TRANSFER PROTEIN
ECU09_0580	hypothetical protein
ECU08_0600	60S ribosomal protein L20
ECU05_0350	TRANSCRIPTION FACTOR OF MYB-TYPE
ECU07_0210	RRM Nup35-type domain-containing protein
ECU02_1170	NTF2 domain-containing protein
ECU10_0890	AMP-binding domain-containing protein
ECU09_0420	hypothetical protein
ECU07_0150	hypothetical protein
ECU09_1805	Probable U6 snRNA-associated Sm-like protein LSm2
ECU06_0470	Nucleoporin_N domain-containing protein
ECU01_0620	CID domain-containing protein
ECU10_1750	Spindle pole body component
ECU10_0050	UPF0329 protein ECU07_1850/ECU10_0050
ECU10_0830	Protein MAK16
ECU09_0570	hypothetical protein
ECU05_0440	Probable serine/threonine-protein phosphatase ECU05_0440
ECU11_1230	similarity to HYPOTHETICAL PROTEIN YDD5_SCHPO
ECU03_1540	RING-type domain-containing protein
ECU01_1250	SMP-LTD domain-containing protein
ECU08_0540	Uncharacterized membrane protein ECU08_0540
ECU06_1700	UPF0328 protein ECU06_0020/ECU06_1700
ECU07_0290	hypothetical protein
ECU05_1495	Ubiquitin-like domain-containing protein
ECU05_0550	hypothetical protein
ECU04_0120	J domain-containing protein
ECU05_0950	Putative METHYLTRANSFERASE
ECU09_0940	Protein transport protein SFT2
ECU10_0910	AMP-binding domain-containing protein
ECU06_1300	GPN-loop GTPase 2
ECU09_1470	RRM domain-containing protein ECU09_1470
ECU11_0610	CPSF_A domain-containing protein
ECU02_0910	hypothetical protein
ECU09_0170	GTP-BINDING PROTEIN
ECU04_0970	Homeobox protein HD-6
ECU09_1250	40S ribosomal protein S3
ECU06_0400	EKC/KEOPS complex subunit BUD32
ECU10_1570	40S RIBOSOMAL PROTEIN S24
ECU01_0650	Probable phosphoacetylglucosamine mutase
ECU06_1410	Probable DNA replication complex GINS protein PSF2
ECU09_1000	60S ribosomal protein L3
ECU04_0140	40S ribosomal protein S5
ECU11_0080	UPF0329 protein ECU11_0080
ECU11_1700	Rab-GAP TBC domain-containing protein
ECU07_0330	Uncharacterized RING finger protein ECU07_0330
ECU11_0430	Similarity to SKT5 PROTEIN
ECU01_0440	Uncharacterized protein ECU01_0440
ECU07_1760	Glucosamine 6-phosphate N-acetyltransferase
ECU06_1060	Pre-mRNA-splicing factor CWC24
ECU02_0510	Probable serine/threonine-protein kinase MPS1 homolog
ECU01_0260	DYNEIN LIGHT CHAIN 1
ECU07_1007	ECU07_1007 protein
ECU07_1520	SER/THR PROTEIN PHOSPHATASE PP2C HOMOLOG 1
ECU10_0345	ECU10_0345 protein
ECU10_1260	PlsC domain-containing protein
ECU08_1150	HYPOTHETICAL OXIDOREDUCTASE SHORT CHAIN DEHYDROGENASES/REDUCTASES (SDR) FAMILY
ECU06_0820	BELONGS TO THE SNF2/RAD54 HELICASE FAMILY
ECU08_1930	ADP-ribosylation factor
ECU07_0810	hypothetical protein
ECU08_0145	ECU08_0145 protein
ECU06_0415	ECU06_0415 protein
ECU07_1180	hypothetical protein
ECU06_0130	RING-type domain-containing protein
ECU01_0050	UPF0328 protein ECU01_0050/ECU01_1560
ECU10_0085	unspecified product
ECU07_0985	ECU07_0985 protein
ECU02_1030	hypothetical protein
ECU03_1260	GOLD domain-containing protein
ECU09_0320	hypothetical protein
ECU07_1050	similarity to HYPOTHETICAL PROTEIN YB04_AERPE (UPF0119 FAMILY)
ECU10_1870	UPF0328 protein ECU10_1870
ECU08_1260	CHROMATIN ASSEMBLY FACTOR 1 P60 SUBUNIT
ECU10_0550	PROTEASOME_ALPHA_1 domain-containing protein
ECU08_0440	TFIIS N-terminal domain-containing protein
ECU08_0840	TRANSCRIPTION FACTOR TAU-LIKE PROTEIN (TFIIIC-LIKE PROTEIN)
ECU11_0470	Kinesin-like protein
ECU06_1610	UPF0329 protein ECU06_1610
ECU09_1850	PHD-type domain-containing protein
ECU08_2030	Ricin B-type lectin domain-containing protein
ECU05_0480	F-box domain-containing protein
ECU10_1490	Sacchrp_dh_NADP domain-containing protein
ECU08_0530	Sulfate_transp domain-containing protein
ECU07_0790	hypothetical protein
ECU05_0190	WD-REPEAT PROTEIN SIMILAR TO PERIODIC TRYPTOPHAN PROTEIN 2
ECU09_0925	ECU09_0925 protein
ECU07_0480	hypothetical protein
ECU06_0300	hypothetical protein
ECU05_0310	ACETYLCOENZYME A SYNTHETASE
ECU04_1130	Putative MANNOSYLTRANSFERASE OF THE KTR FAMILY
ECU07_0370	hypothetical protein
ECU10_0680	PRE-mRNA SPLICING FACTOR
ECU11_0030	UPF0329 protein ECU11_0030
ECU04_1140	Probable valine--tRNA ligase%2C cytoplasmic
ECU03_1080	Flap endonuclease 1
ECU05_0940	Putative RNA HELICASE OF THE SKI2 SUBFAMILY
ECU04_1700	UPF0328 protein ECU02_0020/ECU04_1700
ECU03_1010	14-3-3 protein homolog
ECU06_0500	Homeobox protein HD-3
ECU07_1550	hypothetical protein
ECU05_1270	ATP-DEPENDENT RNA HELICASE (PRE-mRNA SPLICING)
ECU07_0420	hypothetical protein
ECU07_0510	similarity to HYPOTHETICAL PROTEIN YBET_ECOLI
ECU02_0170	hypothetical protein
ECU01_0810	hypothetical protein
ECU01_0910	Uncharacterized membrane protein ECU01_0910
ECU02_1530	hypothetical protein
ECU11_0220	RNA polymerase II transcription factor B 38 kDa subunit
ECU07_0710	hypothetical protein
ECU03_0050	hypothetical protein
ECU04_0550	hypothetical protein
ECU11_0910	hypothetical protein
ECU01_0070	UPF0328 protein ECU01_0070/ECU01_1540/ECU02_1570/ECU04_0080/ECU08_2100
ECU01_0975	ECU01_0975 protein
ECU02_0240	U3 snoRNA-ASSOCIATED RNP (18S rRNA PRODUCTION)
ECU03_0590	Protein YIP
ECU01_1000	CDP-DIACYLGLYCEROLINOSITOL-3-PHOSPHATIDYLTRANSFERASE
ECU01_0510	Iron sulfur cluster assembly protein 1
ECU05_1580	hypothetical protein
ECU11_0340	LIM DOMAIN-CONTAINING PROTEIN
ECU08_1880	hypothetical protein
ECU10_1310	UBC core domain-containing protein
ECU05_1360	NTP_transferase domain-containing protein
ECU03_1310	hypothetical protein
ECU06_1650	UPF0328 protein ECU06_1650
ECU01_0340	FCP1 homology domain-containing protein
ECU06_1430	Similarity to CELL DIVISION CONTROL PROTEIN CDC23
ECU04_0240	hypothetical protein
ECU07_0460	Ribonucloprotein
ECU06_1070	hypothetical protein
ECU01_0730	Similarity to LEPTIN RECEPTOR GENE-RELATED PROTEIN
ECU06_0250	Polar tube protein 1
ECU03_0580	Ubiquitin carboxyl-terminal hydrolase
ECU04_1300	RNA-binding domain
ECU10_1350	similarity to HYPOTHETICAL PROTEIN YO47_METJA
ECU08_1390	hypothetical protein
ECU11_1660	RING ZINC FINGER TRANSCRIPTION NEGATIVE REGULATOR FACTOR
ECU04_1570	hypothetical protein
ECU01_0955	HTH cro/C1-type domain-containing protein
ECU07_0620	hypothetical protein
ECU10_0580	FCP1 homology domain-containing protein
ECU06_0090	UPF0329 protein ECU06_0090
ECU11_1590	SUN domain-containing protein
ECU10_1680	ATP-dependent RNA helicase DBP4
ECU03_0040	UPF0328 protein ECU03_0040
ECU06_1440	Tr-type G domain-containing protein
ECU10_0500	hypothetical protein
ECU11_1080	Superoxide dismutase
ECU02_1240	Condensin complex subunit 1
ECU11_1820	NUCLEAR PORE COMPLEX PROTEIN (NUCLEOPORIN NUP116)
ECU11_1390	hypothetical protein
ECU04_0380	hypothetical protein
ECU10_1720	Hydroxymethylglutaryl-CoA reductase (NADPH)
ECU05_1160	SGS domain-containing protein
ECU09_1840	26S proteasome regulatory subunit 8 homolog
ECU05_0640	hypothetical protein
ECU06_1215	ECU06_1215 protein
ECU11_0390	Exocyst complex component Sec6
ECU08_0520	POLYADENYLATE BINDING PROTEIN 2
ECU09_1440	Phospholipid-transporting ATPase
ECU09_0880	hypothetical protein
ECU06_0460	N-TERMINAL ACYLTRANSFERASE COMPLEX SUBUNIT ARD1
ECU08_0200	hypothetical protein
ECU02_0430	SEC1-LIKE SYNTAXIN-BINDING PROTEIN
ECU09_1740	PFU domain-containing protein
ECU03_0980	Probable serine/threonine-protein kinase KIN1 homolog
ECU04_1480	Zpr1 domain-containing protein
ECU11_1250	TAF8_C domain-containing protein
ECU08_1340	hypothetical protein
ECU01_0140	Probable M1 family aminopeptidase 1
ECU11_0600	hypothetical protein
ECU07_0130	Histone chaperone ASF1
ECU01_0920	Ribosomal_L7Ae domain-containing protein
ECU11_0940	Ribosomal_L7Ae domain-containing protein
ECU02_0630	hypothetical protein
ECU07_0670	hypothetical protein
ECU08_0920	hypothetical protein
ECU11_2010	hypothetical protein
ECU02_1250	TAFII28 domain-containing protein
ECU01_0180	Thymidylate synthase 1/2
ECU04_1690	hypothetical protein
ECU08_1430	Palmitoyltransferase
ECU09_0730	FSH1 domain-containing protein
ECU08_1570	60S ribosomal protein L10
ECU10_0480	Bis(5'-adenosyl)-triphosphatase
ECU11_0540	Mitochondrial-type heat shock protein 70
ECU10_1730	hypothetical protein
ECU11_1670	Probable proteasome subunit alpha type-6
ECU07_0220	HTH TFE/IIEalpha-type domain-containing protein
ECU10_0510	3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE 2
ECU06_1500	Similarity to HYPOTHETICAL INTEGRAL MEMBRANE PROTEINS YA85_MYCTU
ECU11_1425	ECU11_1425 protein
ECU06_1200	hypothetical protein
ECU07_0170	hypothetical protein
ECU08_1920	Cyclin-dependent kinase 1
ECU11_1370	NOT1-LIKE GENERAL NEGATIVE REGULATOR OF TRANSCRIPTION SUBUNIT 1
ECU01_0530	PDZ domain-containing protein
ECU02_0080	UPF0329 protein ECU02_0080
ECU08_0550	Arginine--tRNA ligase
ECU10_0370	hypothetical protein
ECU09_0340	Similarity to HYPOTHETICAL ZINC FINGER PROTEIN YKF9_YEAST
ECU05_0370	HISTONE-BINDING PROTEIN N1/N2
ECU01_0525	ECU01_0525 protein
ECU01_0110	UPF0329 protein ECU01_0110/ECU01_1500/ECU08_0040
ECU04_0830	hypothetical protein
ECU10_0030	UPF0328 protein ECU07_1870/ECU10_0030
ECU02_1420	hypothetical protein
ECU06_0600	RPOLD domain-containing protein
ECU04_1220	dTMP kinase
ECU03_1610	Uncharacterized protein ECU03_1610
ECU03_0030	UPF0329 protein ECU03_0030/ECU05_0040/ECU06_0010/ECU06_1710/ECU11_0010
ECU09_0630	Ribonuclease P/MRP protein subunit POP5
ECU10_0670	60S ribosome subunit biogenesis protein NIP7
ECU08_1885	ECU08_1885 protein
ECU03_0880	BIS (5'-NUCLEOSYL) TETRAPHOSPHATASE
ECU07_1780	DNA replication complex GINS protein SLD5
ECU06_1510	NOT2_3_5 domain-containing protein
ECU03_1440	tRNA ADENILYL TRANSFERASE
ECU07_0965	ECU07_0965 protein
ECU04_1370	Rad21_Rec8_N domain-containing protein
ECU03_0920	tRNA-intron lyase
ECU08_0640	NICOTINIC ACID TRANSPORTER(ALLANTOATE PERMEASE FAMILY)
ECU11_1470	CBFD_NFYB_HMF domain-containing protein
ECU10_1850	UPF0328 protein ECU10_1850
ECU08_1850	Glucose-6-phosphate 1-dehydrogenase
ECU02_0570	similarity to HYPOTHETICAL PROTEIN YO47_METJA
ECU08_2010	60S ribosomal protein L12
ECU07_0010	UPF0328 protein ECU07_0010
ECU05_1140	TRANSITIONAL ENDOPLASMIC RETICULUM ATPASE
ECU04_0620	tRNA (guanine(37)-N1)-methyltransferase
ECU05_0120	hypothetical protein
ECU06_1030	RNA 3'TERMINAL PHOSPHATE CYCLASE
ECU07_1170	tRNA-dihydrouridine synthase
ECU08_1700	hypothetical protein
ECU03_0060	hypothetical protein
ECU10_0900	similarity to HYPOTHETICAL PROTEIN Y162_METJA
ECU11_1450	WD_REPEATS_REGION domain-containing protein
ECU10_1630	hypothetical protein
ECU09_1280	hypothetical protein
ECU08_1270	DEVELOPMENTALLY REGULATED GTP BINDING PROTEIN
ECU10_0120	Probable cell division control protein 7 homolog 2
ECU11_0225	ECU11_0225 protein
ECU10_1170	XPA_C domain-containing protein
ECU07_0730	hypothetical protein
ECU05_0490	hypothetical protein
ECU02_0480	26S proteasome regulatory subunit RPN2
ECU11_1200	ABC TRANSPORTER (Mitochondrial type)
ECU07_1280	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
ECU09_1900	hypothetical protein
ECU03_0150	GDP-mannose transporter
ECU09_1770	WD_REPEATS_REGION domain-containing protein
ECU06_1660	hypothetical protein
ECU06_1290	TPT domain-containing protein
ECU06_1160	hypothetical protein
ECU09_1800	DNA REPLICATION HELICASE
ECU09_0550	L-type lectin-like domain-containing protein
ECU08_2080	UPF0328 protein ECU08_2080
ECU09_0500	hypothetical protein
ECU01_0700	Eukaryotic translation initiation factor 2 subunit gamma
ECU09_1590	Similarity to HYPOTHETICAL TRANSMEMBRANE PROTEIN YNO3_YEAST
ECU04_0210	MFS domain-containing protein
ECU06_0940	3-ketoacyl-CoA thiolase%2C peroxisomal
ECU09_1220	EF-hand domain-containing protein
ECU03_1570	MYOSIN REGULATORY LIGHT CHAIN
ECU09_0070	Eukaryotic translation initiation factor 5B
ECU04_0460	rRNA adenine N(6)-methyltransferase
ECU08_1970	26S proteasome regulatory subunit 6B homolog
ECU05_1610	UPF0328 protein ECU05_1610/ECU11_0120
ECU09_0240	hypothetical protein
ECU10_0330	C2H2-type domain-containing protein
ECU02_0180	hypothetical protein
ECU09_2010	UPF0328 protein ECU09_2010
ECU10_1010	hypothetical protein
ECU09_0330	Probable proteasome subunit alpha type-7
ECU03_1130	Rad51 domain-containing protein
ECU11_1980	Probable casein kinase I homolog ECU11_1980
ECU02_0660	Muskelin_N domain-containing protein
ECU03_1280	hypothetical protein
ECU08_0655	ECU08_0655 protein
ECU09_0920	FtsJ domain-containing protein
ECU06_0800	hypothetical protein
ECU11_0120	UPF0328 protein ECU05_1610/ECU11_0120
